1866,A1,3396,14-37-2022 03:37:16
9780,A2,1583,14-37-2022 03:37:44
4029,A3,5875,14-37-2022 03:37:52
6834,A4,2608,14-38-2022 03:38:36
1981,A5,1827,14-38-2022 03:38:43
8579,A6,4160,14-38-2022 03:38:53
895,B1,9433,14-39-2022 03:39:02
6930,B2,8355,14-39-2022 03:39:09
9294,B3,4111,14-39-2022 03:39:14
7478,B4,4400,14-39-2022 03:39:25
7388,B5,7700,14-39-2022 03:39:37
829,B6,796,14-39-2022 03:39:46
5357,C1,9108,14-39-2022 03:39:59
6241,C2,8640,14-40-2022 03:40:43
8358,C3,450,14-40-2022 03:40:54
3496,C4,7358,14-55-2022 03:55:58
2782,C5,9570,14-57-2022 03:57:22
880,C6,8622,14-58-2022 03:58:03
8069,D1,9447,14-58-2022 03:58:30
3193,D2,5677,14-58-2022 03:58:37
2531,D3,6612,14-58-2022 03:58:42
6578,D4,5589,14-58-2022 03:58:49
3709,D5,4249,14-11-2022 04:11:55
7196,D6,8662,14-12-2022 04:12:04
6632,E1,6005,14-12-2022 04:12:16
6032,E2,1498,14-12-2022 04:12:31
9207,E3,769,14-12-2022 04:12:40
4941,E4,9319,14-12-2022 04:12:53
1385,E5,8277,14-13-2022 04:13:01
9733,E6,1059,14-13-2022 04:13:07
2121,F1,4433,14-13-2022 04:13:14
9858,F2,4011,14-13-2022 04:13:20
6083,F3,5687,14-13-2022 04:13:31
4151,F4,3185,14-13-2022 04:13:39
1992,F5,8780,14-13-2022 04:13:49
8914,F6,800,14-15-2022 04:15:52
